round,match_id,match_date,slot_a,slot_b,team_a,team_b,team_a_group,team_b_group,team_a_win_prob,draw_prob,team_b_win_prob,team_a_advance_prob,team_b_advance_prob,team_a_penalty_prob_if_draw,expected_goals_a,expected_goals_b,expected_goal_diff,most_likely_score_a,most_likely_score_b,most_likely_score_probability,score_a,score_b,scoreline,resolution,penalty_score,scoreline_method,winner,loser,same_group_match,elo_diff,team_form_10_diff,goal_diff_10_diff,goals_scored_10_diff,goals_conceded_10_diff,points_per_match_all_diff,clean_sheet_rate_10_diff,failed_to_score_rate_10_diff,draw_rate_10_diff,low_scoring_rate_10_diff,team_a_elo,team_b_elo,team_a_team_form_10,team_b_team_form_10
round_of_32,M73,2026-06-28,2A,2B,South Korea,Canada,A,B,0.335482018026197,0.14300833774437388,0.5215096442294291,0.3979978677867048,0.6020021322132951,0.4371482862226842,1.0082471649186686,1.0814016182497512,-0.07315445333108261,1,1,0.13490594515893437,0,1,0-1,regular_time,,winner_conditioned,Canada,South Korea,False,8.495767584574423,0.19999999999999996,-0.39999999999999997,0.0,0.0,0.2616110588972431,-0.09999999999999998,-0.10000000000000003,-0.4,-0.20000000000000007,1828.4433714743616,1819.9476038897872,1.9,1.7
round_of_32,M74,2026-06-29,1E,3D (Best 3rd ABCDF),Germany,Australia,E,D,0.5510257596686786,0.21545296075190812,0.2335212795794133,0.6935442466627142,0.30645575333728586,0.6614830749907592,1.836319883380301,1.0710188797595466,0.7653010036207544,1,1,0.10742473262966754,1,0,1-0,regular_time,,winner_conditioned,Germany,Australia,False,101.34838645246896,1.1,1.7,0.0,0.0,0.1767506142506141,0.2,-0.19999999999999998,-0.1,-0.3,1931.607223416698,1830.258836964229,2.7,1.6
round_of_32,M75,2026-06-29,1F,2C,Japan,Morocco,F,C,0.376374651732195,0.23090000575086186,0.3927253425169432,0.4886547608885995,0.5113452391114005,0.48627157366792495,1.141059162325367,1.2615042762959312,-0.12044511397056423,1,1,0.13024973422507716,0,1,0-1,regular_time,,winner_conditioned,Morocco,Japan,False,-22.535543911846844,-0.10000000000000009,-0.5999999999999999,0.0,0.0,0.008932977988352242,0.0,0.1,-0.09999999999999998,0.09999999999999998,1917.4445750828772,1939.980118994724,2.3,2.4
round_of_32,M76,2026-06-29,1C,2F,Brazil,Netherlands,C,F,0.6039796636770672,0.12088547224674212,0.2751348640761907,0.6792297473801068,0.3207702526198933,0.622490712113403,1.6952798002293679,1.423021851883075,0.2722579483462928,1,1,0.10670671642687611,2,1,2-1,regular_time,,winner_conditioned,Brazil,Netherlands,False,32.38688842189913,-0.20000000000000018,0.0,0.0,0.0,0.09500505390835601,0.0,0.0,-0.19999999999999998,-0.10000000000000003,1945.3011704527755,1912.9142820308764,1.9,2.1
round_of_32,M77,2026-06-30,1I,3G (Best 3rd CDFGH),France,Egypt,I,G,0.5668292437088416,0.12599064242830157,0.3071801138628568,0.6493111464514241,0.3506888535485759,0.6546668955158406,1.6804136014608995,0.9166867100748242,0.7637268913860753,1,0,0.12517276735996075,1,0,1-0,regular_time,,most_likely,France,Egypt,False,220.00494340385762,0.7,0.9000000000000001,0.0,0.0,0.1394900849858356,-0.3,-0.4,-0.19999999999999998,-0.5,1996.1130433223384,1776.1080999184808,2.5,1.8
round_of_32,M78,2026-06-30,2E,2I,Ecuador,Norway,E,I,0.21135553007050278,0.20334706750080403,0.5852974024286932,0.2861961044169533,0.7138038955830467,0.36804353889270913,1.0768336460117534,1.5554372599998068,-0.4786036139880534,1,1,0.12045376675568607,0,1,0-1,regular_time,,winner_conditioned,Norway,Ecuador,False,62.64760820908532,-0.30000000000000004,-1.5999999999999999,0.0,0.0,-0.18122352143704457,0.2,0.1,0.3,0.4,1898.7807140699929,1836.1331058609076,1.8,2.1
round_of_32,M79,2026-06-30,1A,3C (Best 3rd CEFHI),Mexico,Scotland,A,C,0.4386416871034541,0.17978409219927644,0.38157422069726954,0.5405353289257677,0.4594646710742323,0.5667556043243951,1.4192616991010045,1.0470833647032138,0.3721783343977907,1,1,0.1261605841072673,1,0,1-0,regular_time,,winner_conditioned,Mexico,Scotland,False,165.52643927710028,0.20000000000000018,0.09999999999999987,0.0,0.0,0.38281297974437023,0.39999999999999997,-0.09999999999999998,0.19999999999999998,0.29999999999999993,1899.8614756357315,1734.3350363586312,2.1,1.9
round_of_32,M80,2026-07-01,1L,3I (Best 3rd EHIJK),England,Senegal,L,I,0.5175927878545955,0.16196113286560684,0.3204460792797976,0.6166321677408134,0.3833678322591866,0.6115009084827743,1.5288851850409397,0.9221915027011258,0.6066936823398139,1,0,0.13179101177882324,1,0,1-0,regular_time,,most_likely,England,Senegal,False,127.03799132908307,0.5,1.5000000000000002,0.0,0.0,0.164563423997387,0.30000000000000004,-0.1,-0.1,0.09999999999999998,1966.804639683656,1839.766648354573,2.5,2.0
round_of_32,M81,2026-07-01,1D,3B (Best 3rd BEFIJ),Turkey,Bosnia and Herzegovina,D,B,0.5077858834886714,0.21434501228186312,0.2778691042294654,0.6502124718339118,0.3497875281660882,0.6644735365148118,1.9468506380289607,1.1771074093052296,0.7697432287237311,1,1,0.10079314245772952,2,1,2-1,regular_time,,winner_conditioned,Turkey,Bosnia and Herzegovina,False,262.5174833683643,1.0,0.19999999999999996,0.0,0.0,0.3306860884050671,0.2,0.0,-0.5,-0.2,1849.565093279729,1587.0476099113646,2.5,1.5
round_of_32,M82,2026-07-01,1G,3A (Best 3rd AEHIJ),Belgium,Czechia,G,A,0.4032916776007182,0.26590813915265554,0.3308001832466263,0.5553185184700844,0.4446814815299156,0.571726918001893,1.904155603515136,1.3990978541753356,0.5050577493398003,1,1,0.09794128024290098,2,1,2-1,regular_time,,winner_conditioned,Belgium,Czechia,False,137.11514981174855,0.5,1.8,0.0,0.0,0.14474566529361033,0.19999999999999996,0.0,-0.10000000000000003,0.0,1840.4243004412915,1703.309150629543,2.4,1.9
round_of_32,M83,2026-07-02,2K,2L,Portugal,Croatia,K,L,0.6188539361218346,0.1428308446409521,0.23831521923721333,0.7131537152788279,0.28684628472117213,0.6602199923556,1.7591100111207285,1.2234823811514444,0.5356276299692841,1,1,0.10903534500789812,2,1,2-1,regular_time,,winner_conditioned,Portugal,Croatia,False,80.70350814553512,0.09999999999999964,0.7999999999999999,0.0,0.0,0.165007630581401,0.0,0.0,0.1,0.10000000000000003,1941.607151507555,1860.90364336202,2.3,2.2
round_of_32,M84,2026-07-02,1H,2J,Spain,Algeria,H,J,0.5366799498437196,0.2257879823619822,0.23753206779429833,0.6916978353951754,0.30830216460482474,0.686563934580592,1.7002625247529013,0.9987271377177198,0.7015353870351815,1,0,0.11438252136208837,1,0,1-0,regular_time,,most_likely,Spain,Algeria,False,265.3238026130641,0.10000000000000009,0.7,0.0,0.0,0.4776793468820566,0.0,-0.1,0.09999999999999998,-0.3,2084.801774607639,1819.4779719945748,2.4,2.3
round_of_32,M85,2026-07-02,1B,3J (Best 3rd EFGIJ),Switzerland,Austria,B,J,0.46083278607340306,0.19381677742071063,0.3453504365058863,0.5679982776735301,0.43200172232646994,0.5529216460322576,1.4105102190686787,1.4115844059579445,-0.0010741868892658601,1,1,0.11843033721124223,1,0,1-0,regular_time,,winner_conditioned,Switzerland,Austria,False,54.09831181698564,-0.6000000000000001,-0.8999999999999999,0.0,0.0,0.16783216783216792,-0.09999999999999998,0.1,0.30000000000000004,-0.09999999999999998,1844.1933914534432,1790.0950796364575,1.9,2.5
